name,website,gmp,issuePrice,size,lot,open,close,status
Biopol Chemicals,https://www.biopolchemicals.com/,0,108,31.26,1200,6-Feb-26,10-Feb-26,Upcoming
NFP Sampoorna Foods,https://www.sampoornanuts.com/,0,55,24.53,2000,4-Feb-26,6-Feb-26,Upcoming
Grover Jewells,https://www.groverjewells.com/,0,83-88,33.83,0,4-Feb-26,6-Feb-26,Upcoming
Brandman Retail,https://www.brandmanretail.com/,0,167-176,86.09,800,4-Feb-26,6-Feb-26,Upcoming
Fractal Analytics,https://www.fractal.ai/,170,2833.9,0,0,9-Feb-26,11-Feb-26,Upcoming
Aye Finance,,,885,,,-,-,Upcoming
